"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	12641	3853487	328.040551
	"Alabama"	"01"	"2000"	"2000"	12604	3867302	325.911967
	"Alabama"	"01"	"2001"	"2001"	12850	3883803	330.861272
	"Alabama"	"01"	"2002"	"2002"	13102	3894484	336.424543
	"Alabama"	"01"	"2003"	"2003"	13562	3913119	346.577755
	"Alabama"	"01"	"2004"	"2004"	13801	3936903	350.554738
	"Alabama"	"01"	"2005"	"2005"	14244	3967703	358.998645
	"Alabama"	"01"	"2006"	"2006"	14673	4015901	365.372553
	"Alabama"	"01"	"2007"	"2007"	14588	4050770	360.129062
	"Alabama"	"01"	"2008"	"2008"	14865	4081262	364.225575
	"Alabama"	"01"	"2009"	"2009"	14788	4108897	359.901940
	"Alabama"	"01"	"2010"	"2010"	14795	4121944	358.932581
	"Alabama"	"01"	"2011"	"2011"	15128	4130154	366.281742
	"Alabama"	"01"	"2012"	"2012"	15199	4122643	368.671263
	"Alabama"	"01"	"2013"	"2013"	15403	4112556	374.535933
	"Alabama"	"01"	"2014"	"2014"	15404	4105445	375.209021
	"Alabama"	"01"	"2015"	"2015"	15814	4094817	386.195525
	"Alabama"	"01"	"2016"	"2016"	16100	4078749	394.728874
	"Alabama"	"01"	"2017"	"2017"	15959	4070976	392.019015
"Total"	"Alabama"	"01"			275520	76410915	360.576758
	"Alaska"	"02"	"1999"	"1999"	1257	590535	212.857832
	"Alaska"	"02"	"2000"	"2000"	1350	591233	228.336375
	"Alaska"	"02"	"2001"	"2001"	1421	596299	238.303267
	"Alaska"	"02"	"2002"	"2002"	1510	603469	250.219978
	"Alaska"	"02"	"2003"	"2003"	1458	608005	239.800660
	"Alaska"	"02"	"2004"	"2004"	1465	617138	237.386128
	"Alaska"	"02"	"2005"	"2005"	1478	623001	237.238785
	"Alaska"	"02"	"2006"	"2006"	1518	629702	241.066409
	"Alaska"	"02"	"2007"	"2007"	1620	632694	256.047947
	"Alaska"	"02"	"2008"	"2008"	1586	637133	248.927618
	"Alaska"	"02"	"2009"	"2009"	1622	646016	251.077373
	"Alaska"	"02"	"2010"	"2010"	1636	655293	249.659313
	"Alaska"	"02"	"2011"	"2011"	1734	664505	260.946118
	"Alaska"	"02"	"2012"	"2012"	1728	668952	258.314498
	"Alaska"	"02"	"2013"	"2013"	1785	669043	266.798995
	"Alaska"	"02"	"2014"	"2014"	1795	667319	268.986796
	"Alaska"	"02"	"2015"	"2015"	1860	665595	279.449215
	"Alaska"	"02"	"2016"	"2016"	1909	664688	287.202417
	"Alaska"	"02"	"2017"	"2017"	1856	657215	282.403780
"Total"	"Alaska"	"02"			30588	12087835	253.047796
	"Arizona"	"04"	"1999"	"1999"	10751	4363811	246.367224
	"Arizona"	"04"	"2000"	"2000"	10964	4462793	245.675746
	"Arizona"	"04"	"2001"	"2001"	11371	4590244	247.721036
	"Arizona"	"04"	"2002"	"2002"	11922	4700133	253.652397
	"Arizona"	"04"	"2003"	"2003"	12189	4798680	254.007352
	"Arizona"	"04"	"2004"	"2004"	12345	4921780	250.823889
	"Arizona"	"04"	"2005"	"2005"	13218	5082545	260.066561
	"Arizona"	"04"	"2006"	"2006"	13616	5248877	259.407870
	"Arizona"	"04"	"2007"	"2007"	13458	5364714	250.861463
	"Arizona"	"04"	"2008"	"2008"	13242	5448198	243.052841
	"Arizona"	"04"	"2009"	"2009"	13240	5482708	241.486506
	"Arizona"	"04"	"2010"	"2010"	13319	5510186	241.715978
	"Arizona"	"04"	"2011"	"2011"	13533	5560670	243.369954
	"Arizona"	"04"	"2012"	"2012"	13896	5581722	248.955430
	"Arizona"	"04"	"2013"	"2013"	14149	5607762	252.310993
	"Arizona"	"04"	"2014"	"2014"	14201	5661267	250.844908
	"Arizona"	"04"	"2015"	"2015"	14691	5708011	257.375117
	"Arizona"	"04"	"2016"	"2016"	15328	5760147	266.104320
	"Arizona"	"04"	"2017"	"2017"	15252	5814524	262.308660
"Total"	"Arizona"	"04"			250685	99668772	251.518098
	"Arkansas"	"05"	"1999"	"1999"	6962	2279264	305.449478
	"Arkansas"	"05"	"2000"	"2000"	7301	2299381	317.520237
	"Arkansas"	"05"	"2001"	"2001"	7332	2317012	316.442038
	"Arkansas"	"05"	"2002"	"2002"	7740	2330656	332.095341
	"Arkansas"	"05"	"2003"	"2003"	7785	2347085	331.688030
	"Arkansas"	"05"	"2004"	"2004"	8016	2369556	338.291224
	"Arkansas"	"05"	"2005"	"2005"	8114	2396422	338.588112
	"Arkansas"	"05"	"2006"	"2006"	8357	2429210	344.021307
	"Arkansas"	"05"	"2007"	"2007"	8358	2449833	341.166112
	"Arkansas"	"05"	"2008"	"2008"	8721	2466988	353.508002
	"Arkansas"	"05"	"2009"	"2009"	8605	2482260	346.659899
	"Arkansas"	"05"	"2010"	"2010"	8432	2495937	337.829040
	"Arkansas"	"05"	"2011"	"2011"	8727	2508880	347.844456
	"Arkansas"	"05"	"2012"	"2012"	8813	2506541	351.600074
	"Arkansas"	"05"	"2013"	"2013"	8797	2504953	351.184234
	"Arkansas"	"05"	"2014"	"2014"	8961	2500178	358.414481
	"Arkansas"	"05"	"2015"	"2015"	9142	2501055	365.525748
	"Arkansas"	"05"	"2016"	"2016"	9289	2501514	371.335119
	"Arkansas"	"05"	"2017"	"2017"	9385	2505135	374.630509
"Total"	"Arkansas"	"05"			158837	46191860	343.863616
	"California"	"06"	"1999"	"1999"	59611	29938297	199.112862
	"California"	"06"	"2000"	"2000"	60253	30275990	199.012485
	"California"	"06"	"2001"	"2001"	62402	30827812	202.421112
	"California"	"06"	"2002"	"2002"	63258	31179738	202.881756
	"California"	"06"	"2003"	"2003"	65596	31507778	208.189863
	"California"	"06"	"2004"	"2004"	64886	31791192	204.100557
	"California"	"06"	"2005"	"2005"	66575	31988690	208.120433
	"California"	"06"	"2006"	"2006"	67027	32148624	208.491038
	"California"	"06"	"2007"	"2007"	66745	32303075	206.621196
	"California"	"06"	"2008"	"2008"	65509	32547577	201.271511
	"California"	"06"	"2009"	"2009"	65945	32796736	201.071838
	"California"	"06"	"2010"	"2010"	63808	33007442	193.313981
	"California"	"06"	"2011"	"2011"	65422	33293288	196.502070
	"California"	"06"	"2012"	"2012"	65519	33441345	195.922144
	"California"	"06"	"2013"	"2013"	66000	33540790	196.775329
	"California"	"06"	"2014"	"2014"	66273	33809453	196.019143
	"California"	"06"	"2015"	"2015"	67777	33956064	199.602050
	"California"	"06"	"2016"	"2016"	68929	33903382	203.310100
	"California"	"06"	"2017"	"2017"	68242	34031295	200.527191
"Total"	"California"	"06"			1239777	616288568	201.168262
	"Colorado"	"08"	"1999"	"1999"	7504	3815244	196.684668
	"Colorado"	"08"	"2000"	"2000"	7624	3885188	196.232460
	"Colorado"	"08"	"2001"	"2001"	7988	4000246	199.687719
	"Colorado"	"08"	"2002"	"2002"	8367	4058609	206.154375
	"Colorado"	"08"	"2003"	"2003"	8616	4088517	210.736558
	"Colorado"	"08"	"2004"	"2004"	8508	4124950	206.257046
	"Colorado"	"08"	"2005"	"2005"	8731	4170304	209.361236
	"Colorado"	"08"	"2006"	"2006"	8752	4241357	206.349053
	"Colorado"	"08"	"2007"	"2007"	8978	4308909	208.359007
	"Colorado"	"08"	"2008"	"2008"	9356	4375595	213.822349
	"Colorado"	"08"	"2009"	"2009"	9565	4437815	215.533996
	"Colorado"	"08"	"2010"	"2010"	9321	4479571	208.077961
	"Colorado"	"08"	"2011"	"2011"	9803	4540976	215.878701
	"Colorado"	"08"	"2012"	"2012"	9735	4574341	212.817540
	"Colorado"	"08"	"2013"	"2013"	9741	4620976	210.799623
	"Colorado"	"08"	"2014"	"2014"	10058	4675851	215.105229
	"Colorado"	"08"	"2015"	"2015"	10243	4744949	215.871656
	"Colorado"	"08"	"2016"	"2016"	10736	4797021	223.805566
	"Colorado"	"08"	"2017"	"2017"	10713	4835112	221.566739
"Total"	"Colorado"	"08"			174339	82775531	210.616589
	"Connecticut"	"09"	"1999"	"1999"	6121	2917045	209.835638
	"Connecticut"	"09"	"2000"	"2000"	6437	2935382	219.290028
	"Connecticut"	"09"	"2001"	"2001"	6317	2961859	213.278215
	"Connecticut"	"09"	"2002"	"2002"	6413	2987064	214.692420
	"Connecticut"	"09"	"2003"	"2003"	6437	3010086	213.847711
	"Connecticut"	"09"	"2004"	"2004"	6364	3021467	210.626163
	"Connecticut"	"09"	"2005"	"2005"	6317	3031537	208.376147
	"Connecticut"	"09"	"2006"	"2006"	6340	3041185	208.471369
	"Connecticut"	"09"	"2007"	"2007"	6327	3045730	207.733450
	"Connecticut"	"09"	"2008"	"2008"	6306	3052985	206.551948
	"Connecticut"	"09"	"2009"	"2009"	6287	3061342	205.367450
