b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20
.83726764,.58261287,.32589895,.098910384,-.18810129,-.41899145,-.67376524,-.90477663,-1.1849067,-1.4135416,-1.6885499,-1.8937845,-2.1690085,-2.3860683,-2.6787589,-2.9230485,-3.1949346,-3.418391,-3.6628525,-3.9659951,1.0749383,1.0730749,1.0698361,1.0648811,1.0654775,1.0598425,1.0592625,1.0557355,1.0580587,1.05258,1.0449374,1.0502445,1.0390601,1.042617,1.0357152,1.0314771,1.0365735,1.0274539,1.0202894,1.0266805,.44051218,.59011233,.76219267,.92644811,.8607375,.69464612,.52826571,.39642069,.26927933,.18668206,.11377857,.078711852,.043101657,.027331265,.013347488,.0071047395,.0036651071,.0018600841,.00087537308,.00039078292
-1.1241401,-1.3694333,-1.604972,-1.8627168,-2.1179323,-2.3506284,-2.6063986,-2.8680046,-3.0949695,-3.3508012,-3.5757563,-3.8155217,-4.0990753,-4.3317337,-4.5932016,-4.8090239,-5.0953283,-5.3082848,-5.5598836,-5.7821164,1.1341182,1.1298298,1.1281291,1.1250968,1.1226486,1.1220325,1.11526,1.1118878,1.1129428,1.1108524,1.1053824,1.096664,1.1028956,1.0907041,1.0922531,1.0924481,1.0919718,1.0901541,1.0781348,1.0764934,.32740098,.2324242,.16239201,.10543725,.066316694,.042393487,.02440198,.013581099,.0081517724,.0043791346,.0024080556,.0012062107,.00060382549,.00028180974,.00013796981,.000074888078,.000032596734,.00001706172,0,0
-1.0974767,-1.3439305,-1.5864638,-1.8332111,-2.0994239,-2.3250647,-2.568218,-2.8314261,-3.0638576,-3.310216,-3.5478361,-3.8093839,-4.0473242,-4.3171415,-4.5257511,-4.797781,-4.9997559,-5.3053508,-5.5572481,-5.788228,1.1306568,1.1271353,1.1258576,1.1200807,1.1212718,1.11897,1.1114182,1.1166182,1.1103826,1.1052155,1.104658,1.1010439,1.0970126,1.1022325,1.092484,1.0917246,1.0820209,1.0785387,1.0770371,1.0759207,.33741227,.23998269,.16634062,.10935213,.068300799,.044023976,.025952103,.015129155,.0086187273,.0046375226,.0025680354,.0012753466,.00065432792,.00033247861,.00016728415,.00007663518,.000037641246,.000014548837,0,0
1.0743822,.82355207,.55812341,.31134999,.077367879,-.17802787,-.43110591,-.67406809,-.93375158,-1.1943636,-1.4691944,-1.7055576,-1.9266016,-2.2045612,-2.4801848,-2.7194588,-2.9252586,-3.2392273,-3.4678874,-3.6871853,1.1402946,1.1369236,1.1327543,1.1345112,1.1312737,1.1214342,1.1225761,1.1251848,1.1199667,1.1286019,1.1206008,1.1019204,1.1010652,1.1113681,1.099739,1.1022235,1.103852,1.0815744,1.0942366,1.0830153,.35161066,.47295281,.62484348,.78512818,.94580758,.87464511,.70293874,.55242002,.4092634,.29612848,.19712743,.12935442,.087641403,.054018762,.029520273,.017881701,.011381953,.0046396065,.0028880392,.0014933937
.87066919,.6173355,.36646581,.12527144,-.13460827,-.40764368,-.63919079,-.87756783,-1.1229696,-1.4126934,-1.6440333,-1.9268852,-2.1571054,-2.419467,-2.6735744,-2.9107597,-3.1805348,-3.4071705,-3.6704192,-3.9433289,1.0815362,1.0790792,1.0744067,1.0731478,1.0710219,1.0701566,1.0686375,1.062597,1.0639969,1.0575184,1.0544811,1.0525656,1.0464654,1.0432321,1.0431378,1.0450984,1.0412897,1.0385588,1.0298026,1.0273182,.4254463,.57038152,.73478013,.90764183,.90059787,.70522958,.55303901,.41365743,.29741049,.18896414,.12666109,.074426971,.045651477,.02544448,.01414403,.0080624102,.003952207,.0021189626,.00094361277,.00042046214
2.4643371,2.2075589,1.9562379,1.6996365,1.4486252,1.1624295,.93589681,.67678827,.44622877,.16464491,-.10324117,-.35959858,-.61430961,-.84984624,-1.1161506,-1.3490652,-1.630775,-1.8716528,-2.0888388,-2.3885388,.97986835,.97844273,.97891206,.97025526,.96937078,.96602559,.9642778,.96175802,.95912743,.95939654,.95429337,.95636761,.95878994,.95326424,.95460033,.93110341,.94856608,.9377479,.93100977,.92747492,.015919436,.029455859,.052336577,.087295942,.14272903,.23575817,.33745489,.48559761,.64421809,.86458606,.9143759,.70885217,.52527404,.377857,.24906252,.15497433,.093120508,.052616246,.030320521,.013719537
-.47472501,-.7230143,-.95929605,-1.2284842,-1.4551414,-1.7299339,-1.9603405,-2.1999204,-2.4830284,-2.6815758,-2.9710004,-3.1906321,-3.4565177,-3.6928711,-3.9565353,-4.1736135,-4.4412107,-4.6836486,-4.9544439,-5.2027755,1.1339382,1.1302433,1.1262972,1.1224927,1.1241471,1.1158967,1.1165458,1.1152922,1.1123557,1.1152468,1.1078744,1.1058124,1.0986588,1.0948478,1.092338,1.0954386,1.0886934,1.0911231,1.0793303,1.0708381,.67765582,.52592754,.39931411,.28015664,.20275666,.12876385,.086605422,.055321574,.031124379,.020797374,.010506802,.0062081134,.0030776004,.0016337002,.00079719676,.00045776251,.00020300948,.00010533704,.000041447431,.000017655937
-3.4039168,-3.6355476,-3.8887525,-4.122704,-4.3742728,-4.5995135,-4.8646374,-5.093276,-5.3430595,-5.5708032,-5.8122439,-6.0362587,-6.3032403,-6.5208225,-6.7680707,-6.970427,-7.226871,-7.4548206,-7.7406583,-7.9375486,.87319225,.87106651,.86988008,.86694735,.86422694,.86449891,.86256754,.85866594,.85616523,.85064775,.84642398,.85375524,.84495962,.84795266,.84087962,.8416934,.84151977,.8354302,.83580875,.83504266,.00035148772,.0001520629,.000060450981,.000024544606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.769403,1.5086635,1.2692868,.99503177,.74435037,.53418261,.21969704,-.0036141968,-.2598049,-.52283752,-.75403112,-1.0198282,-1.2588069,-1.5310262,-1.7695844,-2.0246952,-2.2922781,-2.5414658,-2.7776775,-3.0526452,1.0095277,1.0078045,1.0036341,1.0032364,1.0044113,.99619859,.98576862,.98802507,.99244988,.98434126,.9772073,.97735834,.97598499,.98136848,.97633958,.97663695,.96339417,.96411979,.96809846,.95758432,.087128468,.14205779,.21312392,.32710204,.46286786,.59470338,.82474422,.9970991,.7948007,.59817743,.44476518,.30285186,.20435475,.12642445,.077241093,.044484392,.022078257,.011789798,.0064768135,.0027432898
.779522,.53956366,.27017581,.029150432,-.22651723,-.48174101,-.73472071,-.97691602,-1.2188016,-1.4554445,-1.73122,-1.9855373,-2.2484779,-2.4615254,-2.7181096,-3.0053501,-3.2406833,-3.4621639,-3.7386034,-3.9633279,1.073947,1.0719925,1.0679842,1.0675983,1.0612479,1.065032,1.0602694,1.0623682,1.0513177,1.0542883,1.0438502,1.0556011,1.0400836,1.0425961,1.0377049,1.0398279,1.0351216,1.019922,1.0391675,1.0151941,.47205541,.61742735,.80154985,.97834921,.83203834,.65341884,.49224359,.36317915,.25303784,.17491323,.10484998,.067093112,.036520716,.023063356,.012293933,.0061283619,.0032103921,.0015365746,.00085601141,.00034544672
